ID,Title,Price,Address,Num_of_Bedrooms,Num_of_Bathrooms,Floor_Area,Description,List_of_Amenities,Image URLs,Property URL
11,"1BR Regular 69sqm Condo Unit (28K) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",26322000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,69,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/ac567f6ee13e87.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-69sqm-condo-unit-28k-for-sale-in-ortig-17276813169/
12,"1BR Regular 69sqm Condo Unit (19B) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",26473000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,69,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8c97cc7e858d34.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-69sqm-condo-unit-19b-for-sale-in-ortig-172768130475/
13,"1BR Regular 70sqm Condo Unit (28D) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",25165000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,70,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/62572bf6a63cef.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-70sqm-condo-unit-28d-for-sale-in-ortig-172768131295/
14,"1BR Regular 69sqm Condo Unit (18K) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",26245000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,69,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/7f03c380266156.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-69sqm-condo-unit-18k-for-sale-in-ortig-17276813329/
15,NA,NA,NA,NA,NA,NA,"The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District.
Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater. 
Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps.
Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.  

HLURB LTS No. 018
Turnover Date: 2028
Launched in 2020",NA,"https://static-ph.lamudi.com/static/media/d2F0ZXJtYXJrL2xhbXVkaTpib3R0b20tbGVmdDowLjE%3D/2x2x5x1280x500/4ca0c57890d8dc.jpg, https://static-ph.lamudi.com/static/media/d2F0ZXJtYXJrL2xhbXVkaTpib3R0b20tbGVmdDowLjE%3D/2x2x5x1280x500/6779066ddb0f04.jpg, https://static-ph.lamudi.com/static/media/d2F0ZXJtYXJrL2xhbXVkaTpib3R0b20tbGVmdDowLjE%3D/2x2x5x1280x500/b9d9ce1e6554f7.jpg, https://static-ph.lamudi.com/static/media/d2F0ZXJtYXJrL2xhbXVkaTpib3R0b20tbGVmdDowLjE%3D/2x2x5x1280x500/8acd0e8cb653af.jpg, https://static-ph.lamudi.com/static/media/d2F0ZXJtYXJrL2xhbXVkaTpib3R0b20tbGVmdDowLjE%3D/2x2x5x1280x500/ff58f9cf60e2b0.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-74sqm-condo-unit-21l-for-sale-in-ortig-172768133913/
16,"1BR Regular 69sqm Condo Unit (17B) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",26458000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,69,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8c97cc7e858d34.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-69sqm-condo-unit-17b-for-sale-in-ortig-172768130497/
17,"2BR 109sqm Condo Unit (20L) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",40997000,"ADB Ave. 
                                        Ortigas CBD, Pasig",2,2,109,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/37c1024d5a95df.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/58efea4d702753.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1e4d9267a72c97.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/550dfbf5490431.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/aef8a5970eca93.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/2br-109sqm-condo-unit-20l-for-sale-in-ortigas-cbd-172768132996/
18,"2BR w/ Balcony 106sqm Condo Unit (49B) for Sale in Oranbo, Pasig | The Empress at Capitol Commons",32397000,"Oranbo, Pasig",2,2,106,"Note: TCP is inclusive of parking  Situated directly in front of the Capitol Commons Park, Empress at Capitol Commons is a 56-storey tower that is part of the exclusive Capitol Commons residential block where everything you need is only a few steps away. Live, breathe, and take it easy in a space that embodies the true meaning of home--a sanctuary to call your own. Find joy in living within the heart of a bustling city and foster a sense of self and a sense of community through a space that has been designed with your well-being in mind. Stretch and grow, move and prance, rest and heal--Empress is a place where wellness comes first.   HLURB LTS No. 035163 Turnover Date: Q4 2026","CCTV, Balcony, Elevators, Fire exits, Lobby, Lounge, Reception Area, Fire Alarm, Fire sprinkler system, 24-hour security, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/4d73930fcaa768.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d565dda4a03276.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/47e4ebcc1ad375.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6f24f3970c9762.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/23de8c321e8690.jpg",https://www.lamudi.com.ph/new-developments/empress-at-capitol-commons/2br-w-balcony-106sqm-condo-unit-49b-for-sale-in-or-172768014196/
19,"1BR w/ Balcony 66sqm Condo Unit (48K) for Sale in Oranbo, Pasig | The Empress at Capitol Commons",22008000,"Oranbo, Pasig",1,1,66,"Note: TCP is inclusive of parking  Situated directly in front of the Capitol Commons Park, Empress at Capitol Commons is a 56-storey tower that is part of the exclusive Capitol Commons residential block where everything you need is only a few steps away. Live, breathe, and take it easy in a space that embodies the true meaning of home--a sanctuary to call your own. Find joy in living within the heart of a bustling city and foster a sense of self and a sense of community through a space that has been designed with your well-being in mind. Stretch and grow, move and prance, rest and heal--Empress is a place where wellness comes first.   HLURB LTS No. 035163 Turnover Date: Q4 2026","CCTV, Balcony, Elevators, Fire exits, Lobby, Lounge, Reception Area, Fire Alarm, Fire sprinkler system, 24-hour security, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/123463c344a03e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/58bb3983344427.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/5cb2f258879144.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27005bd180f372.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7cddeb337acdaf.jpg",https://www.lamudi.com.ph/new-developments/empress-at-capitol-commons/1br-w-balcony-66sqm-condo-unit-48k-for-sale-in-ora-172768015449/
20,"1BR w/ Balcony 65sqm Condo Unit (38P) for Sale in Oranbo, Pasig | The Empress at Capitol Commons",21436000,"Oranbo, Pasig",1,1,65,"Note: TCP is inclusive of parking  Situated directly in front of the Capitol Commons Park, Empress at Capitol Commons is a 56-storey tower that is part of the exclusive Capitol Commons residential block where everything you need is only a few steps away. Live, breathe, and take it easy in a space that embodies the true meaning of home--a sanctuary to call your own. Find joy in living within the heart of a bustling city and foster a sense of self and a sense of community through a space that has been designed with your well-being in mind. Stretch and grow, move and prance, rest and heal--Empress is a place where wellness comes first.   HLURB LTS No. 035163 Turnover Date: Q4 2026","CCTV, Balcony, Elevators, Fire exits, Lobby, Lounge, Reception Area, Fire Alarm, Fire sprinkler system, 24-hour security, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/c9f830a12894c5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/58bb3983344427.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/5cb2f258879144.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27005bd180f372.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7cddeb337acdaf.jpg",https://www.lamudi.com.ph/new-developments/empress-at-capitol-commons/1br-w-balcony-65sqm-condo-unit-38p-for-sale-in-ora-172768012447/
21,"1BR w/ Balcony 70sqm Condo Unit (46M) for Sale in Oranbo, Pasig | The Empress at Capitol Commons",22095000,"Oranbo, Pasig",1,1,70,"Note: TCP is inclusive of parking  Situated directly in front of the Capitol Commons Park, Empress at Capitol Commons is a 56-storey tower that is part of the exclusive Capitol Commons residential block where everything you need is only a few steps away. Live, breathe, and take it easy in a space that embodies the true meaning of home--a sanctuary to call your own. Find joy in living within the heart of a bustling city and foster a sense of self and a sense of community through a space that has been designed with your well-being in mind. Stretch and grow, move and prance, rest and heal--Empress is a place where wellness comes first.   HLURB LTS No. 035163 Turnover Date: Q4 2026","CCTV, Balcony, Elevators, Fire exits, Lobby, Lounge, Reception Area, Fire Alarm, Fire sprinkler system, 24-hour security, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/3da45f36676c57.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/58bb3983344427.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/5cb2f258879144.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27005bd180f372.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7cddeb337acdaf.jpg",https://www.lamudi.com.ph/new-developments/empress-at-capitol-commons/1br-w-balcony-70sqm-condo-unit-46m-for-sale-in-ora-172768015088/
22,Great Design Brand New Modern House and Lot For Sale in BF Resort Village,34000000,"Talon Dos, Las Piñas, National Capital Region, Philippines
                                        Talon Dos, Las Piñas",NA,5,407,"Newly Constructed Brand New Modern House and Lot for Sale in Las Piñas City BF Resort Village, Las Piñas City Price: PHP 34,000,000.00 Lot Area: 277 sqm Floor Area: 407 sqm House Details: - 4 Bedrooms with Attached Bedroom - 1 Master's Bedroom with Attached Bathroom and Walk-in Closet - Powder Room - 2 SUV Car Garage - Maid's Room with Attached Bathroom Nearby Places: - SM South Mall - SM Center Las Piñas - City Hall of Las Piñas - Meralco Branch Las Piñas - Robinson Mall Las Piñas - Perpetual Health Las Piñas - South Ville International School Las Piñas - Elizabeth Seton School - San Beda College Alabang - Alabang Town Center - Festival Mall Alabang - Daang Hari - Cavitex Payment Terms: Spot Cash and Bank Financing. We also assist with the processing of bank financing. Let Me Be Your Instrument in Finding Your Dream Home! Feel free to reach out. I’m here to guide you and find the perfect home that meets your needs and lifestyle. I’ll be with you through every step of the process with personalized support. Vienne De Dios Sales Person Under Real Estate Licensed Broker No. 0026202 Contact Me: +63 920 230 7777 (Smart/Viber/Whatsapp) +63 954 387 9606 (Globe) Email: viennededios.ml@gmail.com Reach out today, and let's start the journey to finding your dream home!","Alarm System, Balcony, Basement, Driver's room, Ensuite, Terrace, Maids room, Library, Air conditioning, Attic, Bar, Broadband internet available, Built-in wardrobes, CCTV, Central Air Conditioning, Entertainment room, Fire Alarm, Lounge, Maid's room, Pay TV access, Powder room, Split-system heating, Storage Room, Study room, Badminton court, Carport, Courtyard, Fully fenced, Garage, Jogging path, Lanai, Open car spaces, Parks, Secure parking, Shower Rooms, Sports facilities, Swimming pool, Tennis court, Function area, 24-hour security, Balcony, Basketball court, Clubhouse, Garden, Multi-purpose lawn, Parking lot, Playground, Open space","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/6b185241408083.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/88d37e7acc9a25.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1daece3a8de191.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cf5754cf969a75.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f19c0ecc28024e.jpg",https://www.lamudi.com.ph/new-developments/bf-resort-village/great-design-brand-new-modern-house-and-lot-for-sa-172637457086/
